Taxon Name,NCBI ID,no rank,superkingdom,phylum,kingdom,clade,Error,class,subkingdom
Actinobacteria,201174.0,cellular organisms,Bacteria,Actinomycetota,Bacillati,,,,
Bacteroidetes,976.0,cellular organisms,Bacteria,Bacteroidota,Pseudomonadati,FCB group,,,
Cyanobacteria,1117.0,cellular organisms,Bacteria,Cyanobacteriota,Bacillati,Cyanobacteriota/Melainabacteria group,,,
Firmicutes,1783272.0,cellular organisms,Bacteria,,Bacillati,,,,
Proteobacteria,1224.0,cellular organisms,Bacteria,Pseudomonadota,Pseudomonadati,,,,
Rhodothermaeota,1853220.0,cellular organisms,Bacteria,Rhodothermota,Pseudomonadati,FCB group,,,
Actinobacteriota,201174.0,cellular organisms,Bacteria,Actinomycetota,Bacillati,,,,
Aenigmarchaeota,,,,,,,'Aenigmarchaeota',,
Bacteroidota,976.0,cellular organisms,Bacteria,Bacteroidota,Pseudomonadati,FCB group,,,
Euryarchaeota,28890.0,cellular organisms,Archaea,Methanobacteriota,Methanobacteriati,,,,
Firmicutes_A,,,,,,,'Firmicutes_A',,
Planctomycetota,203682.0,cellular organisms,Bacteria,Planctomycetota,Pseudomonadati,PVC group,,,
Thermoplasmatota,2283796.0,cellular organisms,Archaea,Thermoplasmatota,Methanobacteriati,,,,
Verrucomicrobiota,74201.0,cellular organisms,Bacteria,Verrucomicrobiota,Pseudomonadati,PVC group,,,
Planctomycetes,203682.0,cellular organisms,Bacteria,Planctomycetota,Pseudomonadati,PVC group,,,
Verrucomicrobia,74201.0,cellular organisms,Bacteria,Verrucomicrobiota,Pseudomonadati,PVC group,,,
Chloroflexi,32061.0,cellular organisms,Bacteria,Chloroflexota,Bacillati,,,Chloroflexia,
Viruses,10239.0,root,Viruses,,,,,,
Acidobacteria,57723.0,cellular organisms,Bacteria,Acidobacteriota,Pseudomonadati,,,,
Bacillariophyta,2836.0,cellular organisms,Eukaryota,Bacillariophyta,,Sar,,,
Chlorophyta,3041.0,cellular organisms,Eukaryota,Chlorophyta,Viridiplantae,,,,
Ascomycota,4890.0,cellular organisms,Eukaryota,Ascomycota,Fungi,Opisthokonta,,,Dikarya
Ciliophora,5878.0,cellular organisms,Eukaryota,Ciliophora,,Sar,,,
Basidiomycota,5204.0,cellular organisms,Eukaryota,Basidiomycota,Fungi,Opisthokonta,,,Dikarya
Chytridiomycota,4761.0,cellular organisms,Eukaryota,Chytridiomycota,Fungi,Opisthokonta,,,
Euglenozoa,33682.0,cellular organisms,Eukaryota,Euglenozoa,,Discoba,,,
Apicomplexa,5794.0,cellular organisms,Eukaryota,Apicomplexa,,Sar,,,
Microsporidia,6029.0,cellular organisms,Eukaryota,Microsporidia,Fungi,Opisthokonta,,,
Zoopagomycota,1913638.0,cellular organisms,Eukaryota,Zoopagomycota,Fungi,Opisthokonta,,,
Foraminifera,29178.0,cellular organisms,Eukaryota,Foraminifera,,Sar,,,
Cercozoa,136419.0,cellular organisms,Eukaryota,Cercozoa,,Sar,,,
Actinomycetota,201174.0,cellular organisms,Bacteria,Actinomycetota,Bacillati,,,,
Arthropoda,6656.0,cellular organisms,Eukaryota,Arthropoda,Metazoa,Ecdysozoa,,,
Bacillota,1239.0,cellular organisms,Bacteria,Bacillota,Bacillati,,,,
Cnidaria,6073.0,cellular organisms,Eukaryota,Cnidaria,Metazoa,Opisthokonta,,,
Cyanobacteriota,1117.0,cellular organisms,Bacteria,Cyanobacteriota,Bacillati,Cyanobacteriota/Melainabacteria group,,,
Nematoda,6231.0,cellular organisms,Eukaryota,Nematoda,Metazoa,Ecdysozoa,,,
Platyhelminthes,6157.0,cellular organisms,Eukaryota,Platyhelminthes,Metazoa,Spiralia,,,
Pseudomonadota,1224.0,cellular organisms,Bacteria,Pseudomonadota,Pseudomonadati,,,,
Streptophyta,35493.0,cellular organisms,Eukaryota,Streptophyta,Viridiplantae,,,,
Thermodesulfobacteriota,200940.0,cellular organisms,Bacteria,Thermodesulfobacteriota,Pseudomonadati,,,,
Thermomicrobiota,3027942.0,cellular organisms,Bacteria,Thermomicrobiota,Pseudomonadati,,,,
Uroviricota,2731618.0,root,Viruses,Uroviricota,Heunggongvirae,Duplodnaviria,,,
SAR,2698737.0,cellular organisms,Eukaryota,,,Sar,,,
Saccharibacteria,95818.0,cellular organisms,Bacteria,Candidatus Saccharibacteria,,Bacteria candidate phyla,,,
Chordata,7711.0,cellular organisms,Eukaryota,Chordata,Metazoa,Deuterostomia,,,
Gastrotricha,33313.0,cellular organisms,Eukaryota,Gastrotricha,Metazoa,Spiralia,,,
Amoebozoa,554915.0,cellular organisms,Eukaryota,,,Amoebozoa,,,
Xenacoelomorpha,1312402.0,cellular organisms,Eukaryota,Xenacoelomorpha,Metazoa,Bilateria,,,
Archaeplastida,,,,,,,'Archaeplastida',,
